model,rmse,mae,r2,cv_mean,cv_std
RandomForest,0.7420610314012752,0.5198243243243243,0.30061733374859545,0.3639343221253877,0.1826812029030566
GradientBoosting,0.7547898314902544,0.5143090662244172,0.27641810020380175,0.2981815751355431,0.1569463460367034
Lasso,0.7531609807100975,0.5366961553055061,0.27953773739232146,0.3109714860346304,0.09013764536118613
Ridge,0.7536907242538421,0.522405999836457,0.2785238918420688,0.3358310935766376,0.08663687236374733
SVR,0.765010691731926,0.5419368245490093,0.2566888921507726,0.33992003335784987,0.05676251455726567
