model,rmse,mae,r2,cv_mean,cv_std
RandomForest,4.925306648481793,4.043936842105262,0.07984228060101406,0.023585907238616866,0.0571249354182005
GradientBoosting,5.426116587216951,4.636977331216441,-0.11679629932213698,-0.23444102618484317,0.26011746672070507
Lasso,5.1430154142995335,4.330614448540422,-0.00330130302050069,0.041614521373271575,0.10905936217450654
Ridge,5.120570655506829,4.285687037634878,0.005436651813119808,0.045093610785043925,0.10302471081641866
SVR,5.1588694787505105,4.384723883924512,-0.009496470289302783,0.014977288090266305,0.05436714586773002
