latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.48928,-45.42733,2.1,,2019-02-27,283.0,338.0,123.0,103.0,60.0,24.0,-0.08849557522123894,-0.3442622950819672,-45.400000000000006,0.8674033149171271,1.1943462897526502,0.363905325443787,0.8373983739837398,2019-03-08,0.245998,3.0,2.0
-18.22376,-45.26183,2.13,,2019-02-27,305.0,379.0,119.0,95.0,57.0,33.0,-0.11214953271028037,-0.3522727272727273,-46.71111111111111,0.8398058252427184,1.2426229508196722,0.31398416886543534,0.7983193277310925,2019-03-08,0.245998,3.0,2.0
-18.88812,-45.20045,2.74,,2019-05-22,230.0,332.0,113.0,71.0,35.0,31.0,-0.22826086956521738,-0.527027027027027,-63.42222222222222,0.8292011019283747,1.4434782608695653,0.34036144578313254,0.6283185840707964,2019-06-06,0.009675,6.0,3.0
-18.89833,-45.12083,6.38,,2019-05-22,224.0,403.0,139.0,89.0,34.0,15.0,-0.21929824561403508,-0.6069364161849711,-82.95555555555555,0.9282296650717703,1.7991071428571428,0.34491315136476425,0.6402877697841727,2019-06-06,0.009675,6.0,3.0
-18.8325,-45.13306,4.47,,2019-05-22,154.0,207.0,122.0,88.0,45.0,25.0,-0.1619047619047619,-0.46107784431137727,-59.75555555555556,0.7844827586206896,1.344155844155844,0.5893719806763285,0.7213114754098361,2019-06-06,0.009675,6.0,3.0
-18.57222,-45.26083,3.1,,2019-05-22,217.0,309.0,127.0,83.0,47.0,14.0,-0.20952380952380953,-0.45977011494252873,-59.91111111111111,0.913312693498452,1.423963133640553,0.4110032362459547,0.6535433070866141,2019-06-06,0.009675,6.0,3.0
-18.48928,-45.42733,6.86,,2019-05-21,670.0,1084.0,628.0,425.0,115.0,18.0,-0.19278252611585944,-0.6904441453566622,-404.55555555555554,0.9673321234119783,1.617910447761194,0.5793357933579336,0.6767515923566879,2019-06-06,0.009675,6.0,3.0
-18.22376,-45.26183,2.92,,2019-05-21,426.0,568.0,239.0,161.0,66.0,37.0,-0.195,-0.5672131147540984,-137.0888888888889,0.8776859504132232,1.3333333333333333,0.42077464788732394,0.6736401673640168,2019-06-06,0.009675,6.0,3.0
-18.88812,-45.20045,1.03,,2019-08-21,298.0,412.0,152.0,122.0,69.0,40.0,-0.10948905109489052,-0.3755656108597285,-63.0888888888889,0.8230088495575221,1.3825503355704698,0.36893203883495146,0.8026315789473685,2019-09-04,0.006496,9.0,4.0
-18.89833,-45.12083,0.89,,2019-08-21,275.0,402.0,140.0,99.0,50.0,32.0,-0.17154811715481172,-0.47368421052631576,-70.8,0.8525345622119815,1.461818181818182,0.3482587064676617,0.7071428571428572,2019-09-04,0.006496,9.0,4.0
-18.8325,-45.13306,1.6,,2019-08-21,328.0,467.0,184.0,147.0,83.0,50.0,-0.11178247734138973,-0.3782771535580524,-77.17777777777778,0.8065764023210832,1.423780487804878,0.39400428265524623,0.7989130434782609,2019-09-04,0.006496,9.0,4.0
-18.57222,-45.26083,1.61,,2019-08-22,332.0,476.0,177.0,136.0,78.0,42.0,-0.13099041533546327,-0.38823529411764707,-75.0,0.8378378378378378,1.4337349397590362,0.37184873949579833,0.768361581920904,2019-09-04,0.006496,9.0,4.0
-18.48928,-45.42733,0.53,,2019-08-22,331.0,333.0,138.0,117.0,75.0,34.0,-0.08235294117647059,-0.29577464788732394,-44.51111111111112,0.8147138964577657,1.0060422960725075,0.4144144144144144,0.8478260869565217,2019-09-04,0.006496,9.0,4.0
-18.22376,-45.26183,0.82,,2019-08-22,255.0,268.0,124.0,93.0,74.0,40.0,-0.14285714285714285,-0.25252525252525254,-35.06666666666666,0.7402597402597403,1.0509803921568628,0.4626865671641791,0.75,2019-09-04,0.006496,9.0,4.0
