latitude,longitude,turbidez,clorofila,data
-18.57222,-45.26083,,1.07,2019-02-27
-18.88812,-45.20045,,1.07,2019-02-28
-18.8325,-45.13306,,1.07,2019-02-28
-18.89833,-45.12083,,1.07,2019-02-28
-18.48928,-45.42733,,1.07,2019-05-21
-18.22376,-45.26183,,1.07,2019-05-21
-18.57222,-45.26083,,1.07,2019-05-22
-18.89833,-45.12083,,1.07,2019-05-22
-18.8325,-45.13306,,1.07,2019-05-22
-18.88812,-45.20045,,1.07,2019-08-21
-18.89833,-45.12083,,1.07,2019-08-21
-18.8325,-45.13306,,1.07,2019-08-21
-18.57222,-45.26083,,1.07,2019-08-22
-18.48928,-45.42733,,1.07,2019-08-22
-18.22376,-45.26183,,1.07,2019-08-22
-18.8325,-45.13306,,1.07,2019-11-20
-18.22376,-45.26183,,1.07,2019-11-20
-18.88812,-45.20045,,1.07,2019-11-20
-18.48928,-45.42733,,1.07,2019-11-21
-18.57222,-45.26083,,1.07,2019-11-21
-18.88812,-45.20045,,1.07,2020-02-09
-18.89833,-45.12083,,1.07,2020-02-19
-18.8325,-45.13306,,1.07,2020-02-19
-18.48928,-45.42733,,1.07,2020-02-20
-18.57222,-45.26083,,1.07,2020-02-20
-18.22376,-45.26183,,1.07,2020-02-21
-18.57222,-45.26083,,1.07,2020-05-06
-18.48928,-45.42733,,1.07,2020-05-06
-18.22376,-45.26183,,1.07,2020-05-06
-18.88812,-45.20045,,1.07,2020-05-07
-18.89833,-45.12083,,1.07,2020-05-07
-18.8325,-45.13306,,1.07,2020-05-07
-18.88812,-45.20045,4.8,1.05,2020-08-26
-18.89833,-45.12083,6.3,1.05,2020-08-26
-18.8325,-45.13306,2.78,2.14,2020-08-26
-18.57222,-45.26083,2.57,3.2,2020-08-27
-18.48928,-45.42733,5.21,1.05,2020-08-27
-18.22376,-45.26183,2.78,1.05,2020-08-26
-18.88812,-45.20045,7.59,1.06,2020-12-01
-18.89833,-45.12083,49.6,2.14,2020-12-01
-18.8325,-45.13306,5.11,1.06,2020-12-01
-18.57222,-45.26083,6.07,1.06,2020-12-03
-18.48928,-45.42733,3.53,1.06,2020-12-03
-18.22376,-45.26183,1.98,1.06,2020-12-01
-18.88812,-45.20045,4.13,3.2,2021-02-02
-18.89833,-45.12083,10.7,5.34,2021-02-02
-18.8325,-45.13306,14.1,6.41,2021-02-02
-18.57222,-45.26083,5.79,9.61,2021-02-03
-18.48928,-45.42733,2.28,3.2,2021-02-03
-18.22376,-45.26183,1.64,1.06,2021-02-03
-18.89833,-45.12083,6.22,2.14,2021-08-25
-18.8325,-45.13306,3.2,8.54,2021-08-25
-18.57222,-45.26083,1.82,1.069,2021-08-26
-18.48928,-45.42733,0.89,2.14,2021-08-26
-18.22376,-45.26183,0.83,2.14,2021-08-26
-18.88812,-45.20045,4.17,,2022-06-01
-18.88812,-45.20045,4.78,,2022-11-01
-18.88812,-45.20045,10.1,,2023-02-16
-18.88812,-45.20045,278.6,,2022-08-24
-18.88812,-45.20045,1.03,,2019-08-21
-18.88812,-45.20045,2.74,,2019-05-22
-18.88812,-45.20045,2.99,,2018-08-23
-18.88812,-45.20045,3.43,,2021-08-25
-18.88812,-45.20045,3.55,,2016-05-03
-18.88812,-45.20045,3.59,,2019-01-20
-18.88812,-45.20045,4.13,,2021-02-02
-18.88812,-45.20045,4.65,,2019-02-28
-18.88812,-45.20045,4.78,,2018-05-17
-18.88812,-45.20045,4.8,,2020-08-26
-18.88812,-45.20045,5.49,,2016-08-25
-18.88812,-45.20045,5.65,,2020-05-07
-18.88812,-45.20045,6.23,,2021-01-30
-18.88812,-45.20045,6.34,,2020-02-19
-18.88812,-45.20045,6.91,,2016-01-08
-18.88812,-45.20045,7.59,,2020-02-01
-18.88812,-45.20045,8.48,,2017-02-17
-18.88812,-45.20045,9.3,,2018-01-22
-18.88812,-45.20045,75.6,,2022-02-23
-18.88812,-45.20045,0.9,,2023-08-15
-18.88812,-45.20045,4.0,,2023-05-24
-18.89833,-45.12083,2.73,,2022-06-01
-18.89833,-45.12083,26.5,,2022-11-01
-18.89833,-45.12083,38.7,,2023-02-16
-18.89833,-45.12083,279.4,,2022-08-24
-18.89833,-45.12083,0.89,,2019-08-21
-18.89833,-45.12083,3.21,,2018-08-23
-18.89833,-45.12083,3.35,,2016-05-03
-18.89833,-45.12083,3.56,,2019-01-20
-18.89833,-45.12083,3.92,,2018-05-17
-18.89833,-45.12083,5.53,,2019-02-28
-18.89833,-45.12083,6.22,,2021-08-25
-18.89833,-45.12083,6.3,,2020-08-26
-18.89833,-45.12083,6.38,,2019-05-22
-18.89833,-45.12083,6.6,,2020-05-07
-18.89833,-45.12083,7.01,,2021-01-30
-18.89833,-45.12083,8.31,,2016-08-25
-18.89833,-45.12083,10.5,,2020-02-19
-18.89833,-45.12083,10.7,,2021-02-02
-18.89833,-45.12083,22.4,,2022-02-23
-18.89833,-45.12083,27.1,,2016-01-09
-18.89833,-45.12083,29.6,,2017-02-17
