model,rmse,mae,r2,cv_mean,cv_std
RandomForest,0.7741811600966847,0.5338054054054052,0.2387613857691665,0.2400179536370322,0.3423768119016075
GradientBoosting,0.7459559179155862,0.5713338022677175,0.2932563086368135,0.15614552942716844,0.43873711927975173
Lasso,0.6865869564839976,0.47955557621102773,0.40127594067958483,0.3204399416067103,0.08266200434172662
Ridge,0.6741223449220747,0.46856998771315683,0.4228176278935575,0.31212973877192096,0.11124207073302095
SVR,0.695047136693034,0.4809761448255274,0.38642998128326167,0.35111595749616803,0.10855137392456922
