,PONTO,DATA,Sólidos Totais
155,CLA-03,2022-01-04,150.0
157,CLA-05,2022-01-04,224.0
164,CLA-ETE,2022-01-04,264.0
176,CLA-ETE,2022-04-03,248.0
193,CLA-05,2022-10-04,402.0
201,CLA-01,2023-01-15,196.0
202,CLA-02,2023-01-15,204.0
212,CLA-ETE,2023-01-15,248.0
229,CLA-05,2023-07-25,136.0
240,CLA-04,2023-10-04,350.0
241,CLA-05,2023-10-04,306.0
251,CLA-05,2024-01-20,158.0
261,CLA-05,2024-04-22,226.0
