model,rmse,r2,cv_mean,cv_std
RandomForest,7.808621806523675,0.5322048907938696,0.5166708567599325,0.0685661770619459
GradientBoosting,8.091621073984866,0.49768288920753134,0.45157435114689803,0.05510100317143965
Lasso,8.505191169927038,0.4450229069964332,0.5132762116062557,0.047598413883402864
Ridge,8.334766908466625,0.46704098090257995,0.5089772262442261,0.03927747301178564
SVR,9.328720456550714,0.33234661229602647,0.3929256758741019,0.03597012521185521
