PONTO,Sólidos Dissolvidos
CLA-01,11.75
CLA-02,11.75
CLA-03,11.5
CLA-04,34.0
CLA-05,25.25
CLA-06,9.75
CLA-06B,11.75
CLA-07,9.5
CLA-08,10.5
CLA-08CS,10.5
CLA-09,11.0
CLA-ETE,128.0
