PONTO,Clorofila a
CLA-01,1.0006521739130434
CLA-02,1.8192608695652173
CLA-03,2.1445217391304348
CLA-04,1.7677391304347827
CLA-05,2.392782608695652
CLA-06,1.4968260869565218
CLA-06B,1.455478260869565
CLA-07,2.240391304347826
CLA-08,1.6990869565217392
CLA-08CS,1.414782608695652
CLA-09,1.61455
CLA-ETE,45.6707
