,PONTO,DATA,Sólidos Dissolvidos
3,CLA-04,2018-01-01,60.0
4,CLA-05,2018-01-01,56.0
14,CLA-04,2018-03-21,52.0
152,CLA-ETE,2021-10-03,128.0
