feature,importance
B3_B2_ratio,0.16456798518275725
FAI,0.1410841306491107
Month,0.09901141617128703
B4,0.08455892136532872
B4_B3_ratio,0.08036611229767668
B3,0.07151010842880316
Season,0.06806782750151386
B2,0.04648315627928563
B5_B4_ratio,0.046264810793406275
MNDWI,0.042483736355439915
NDVI,0.04141924533319679
NDCI,0.04097792778187153
B8,0.030565557251457286
B5,0.0216322838475075
B11,0.02100678076135773
