,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez
Clorofila a,1.0,-0.05932189514895903,0.7782719858641092,0.30145859647373036,0.6836415236020638,0.7786264288474476,0.29063605444498386,0.19814147627965337
Transparência da Água,-0.05932189514895903,1.0,-0.6204684877045212,-0.014242464903125899,-1.0000000000000004,-1.0000000000000004,-0.022683434043137395,-0.20497605285474557
Sólidos Dissolvidos,0.7782719858641092,-0.6204684877045212,1.0,,,,,0.6555065700551159
Sólidos Dissolvidos Totais,0.30145859647373036,-0.014242464903125899,,1.0,-0.17123501578187614,0.41186925678966346,0.8452816685961704,0.006289728554551057
Sólidos Sedimentáveis,0.6836415236020638,-1.0000000000000004,,-0.17123501578187614,1.0,0.22347384370988124,-0.26444573964705337,-0.0405708503843575
Sólidos Suspensos Totais,0.7786264288474476,-1.0000000000000004,,0.41186925678966346,0.22347384370988124,1.0,0.2914672016885618,0.3266023665020227
Sólidos Totais,0.29063605444498386,-0.022683434043137395,,0.8452816685961704,-0.26444573964705337,0.2914672016885618,1.0,0.10059369222720556
Turbidez,0.19814147627965337,-0.20497605285474557,0.6555065700551159,0.006289728554551057,-0.0405708503843575,0.3266023665020227,0.10059369222720556,1.0
