model,rmse,mae,r2,cv_mean,cv_std
RandomForest,0.9329670603975478,0.6764123684210527,-0.07402411634672568,-0.08347270727937206,0.2883373689049568
GradientBoosting,0.9736817588962232,0.7177775728762866,-0.16981040442496664,-0.37361393489315403,0.48814657597232386
Lasso,0.9014267269039862,0.6022005925409549,-0.0026336426334865326,-0.08769749013362431,0.10398414121711794
Ridge,0.8954393014181011,0.5957937135612967,0.010641439947528086,-0.15766733539337693,0.13555929284643836
SVR,0.9480952868169104,0.6354024308534699,-0.10913749485143542,-0.01759251031225877,0.11072723933347081
