feature,importance
B3,0.20945300019380386
B4,0.12728759120916913
B3_B2_ratio,0.08970326768676436
B2,0.07937279675804863
MNDWI,0.0724385640626097
B4_B3_ratio,0.06935876276866262
FAI,0.05817959815991439
NDVI,0.05394186259490312
B5,0.04960437100059138
B8,0.044923561407167
NDCI,0.038978079538117855
B5_B4_ratio,0.037367184593193346
B11,0.03487019935388885
Month,0.024197994276004657
Season,0.010323166397161273
