PONTO,Sólidos Dissolvidos Totais
CLA-01,13.44157894736842
CLA-02,12.947368421052632
CLA-03,12.22842105263158
CLA-04,26.49736842105263
CLA-05,101.82052631578948
CLA-06,14.16421052631579
CLA-06B,18.741052631578945
CLA-07,13.700526315789475
CLA-08,14.281666666666666
CLA-08CS,13.985789473684212
CLA-09,12.77
CLA-ETE,59.135999999999996
