feature,importance
NDVI,0.22501689013128134
B2,0.13104419567619022
MNDWI,0.09655426223933207
B4_B3_ratio,0.08791262532136893
B3_B2_ratio,0.06926564718037233
Month,0.05710791349986995
B8,0.05231345483295568
B11,0.04633653260778953
B5_B4_ratio,0.045328454850892
NDCI,0.04439270049973701
FAI,0.039551795405041695
B3,0.03397054028650003
B4,0.032973766371264375
B5,0.027253904531852245
Season,0.010977316565552675
