model,rmse,mae,r2,cv_mean,cv_std
RandomForest,8.09758915819258,4.974139024390242,0.49694163443329464,0.5414802755402961,0.08552570870475053
GradientBoosting,8.362734832143747,5.207860728273306,0.4634582134381422,0.44314652273777577,0.11033840573040027
Lasso,7.619561741105232,5.070045573373355,0.5545829026338898,0.5815138929028361,0.06751167891622271
Ridge,7.560085506285097,5.026072996276039,0.5615093740324405,0.5671558177492791,0.0660889088207707
SVR,8.825559862495522,5.454718720531146,0.4024263643735775,0.4020825900029271,0.05423700261137583
