model,rmse,mae,r2,cv_mean,cv_std
RandomForest,4.8503455014755605,4.121105263157895,0.1076379851732383,0.11258299498471021,0.09354408946867707
GradientBoosting,5.295973543495667,4.581741033105033,-0.06386700088781794,-0.1114776969280941,0.15069746992899702
Lasso,5.108350397167361,4.311234429014436,0.010178044638249895,0.009025978342905683,0.04817505362467096
Ridge,5.11325297345178,4.3177735448491354,0.008277232881834462,0.03963804735959779,0.10061671261588555
SVR,4.780450650081192,4.116050321948556,0.13317105898783077,0.08019525374861361,0.0404758712440786
