sitio_cod,data,paramet,unidade,result,Latitude,Longitude
TM20,19/02/2020,turbidez,ntu,10.5,-18.89833,-45.12083
TM20,02/02/2021,turbidez,ntu,10.7,-18.89833,-45.12083
TM20,23/02/2022,turbidez,ntu,22.4,-18.89833,-45.12083
TM20,09/01/2016,turbidez,ntu,27.1,-18.89833,-45.12083
TM20,17/02/2017,turbidez,ntu,29.6,-18.89833,-45.12083
TM20,01/02/2020,turbidez,ntu,49.6,-18.89833,-45.12083
TM20,22/01/2018,turbidez,ntu,51.7,-18.89833,-45.12083
TM20,15/08/2023,clorofila a,µg/l,5.34,-18.89833,-45.12083
TM20,15/08/2023,turbidez,ntu,2.1,-18.89833,-45.12083
TM20,24/05/2023,clorofila a,µg/l,6.41,-18.89833,-45.12083
TM20,24/05/2023,turbidez,ntu,3.8,-18.89833,-45.12083
TM20,24/08/2022,clorofila a,µg/l,"2,14",-18.89833,-45.12083
TM20,01/11/2022,clorofila a,µg/l,"8,54",-18.89833,-45.12083
TM20,16/02/2023,clorofila a,µg/l,"5,34",-18.89833,-45.12083
TM20,15/12/2023,clorofila a,µg/l,"4,27",-18.89833,-45.12083
TM25,01/06/2022,clorofila a,µg/l,1.07,-18.8325,-45.13306
TM25,01/11/2022,turbidez,ntu,2.81,-18.8325,-45.13306
TM25,01/06/2022,turbidez,ntu,2.9,-18.8325,-45.13306
TM25,16/02/2023,turbidez,ntu,4,-18.8325,-45.13306
TM25,24/08/2022,turbidez,ntu,248.6,-18.8325,-45.13306
TM25,17/02/2017,clorofila a,,1.07,-18.8325,-45.13306
TM25,28/02/2019,clorofila a,,1.07,-18.8325,-45.13306
TM25,19/02/2020,clorofila a,,1.07,-18.8325,-45.13306
TM25,23/02/2022,clorofila a,,1.07,-18.8325,-45.13306
TM25,03/05/2016,clorofila a,,1.07,-18.8325,-45.13306
TM25,17/05/2018,clorofila a,,1.07,-18.8325,-45.13306
TM25,22/05/2019,clorofila a,,1.07,-18.8325,-45.13306
TM25,07/05/2020,clorofila a,,1.07,-18.8325,-45.13306
TM25,19/05/2021,clorofila a,,1.07,-18.8325,-45.13306
TM25,25/08/2016,clorofila a,,1.07,-18.8325,-45.13306
TM25,22/08/2018,clorofila a,,1.07,-18.8325,-45.13306
TM25,21/08/2019,clorofila a,,1.07,-18.8325,-45.13306
TM25,09/01/2016,clorofila a,,1.07,-18.8325,-45.13306
TM25,22/01/2018,clorofila a,,1.07,-18.8325,-45.13306
TM25,20/01/2019,clorofila a,,1.07,-18.8325,-45.13306
TM25,30/01/2021,clorofila a,,1.07,-18.8325,-45.13306
TM25,01/02/2020,clorofila a,,1.07,-18.8325,-45.13306
TM25,21/08/2019,turbidez,ntu,1.6,-18.8325,-45.13306
TM25,26/08/2020,clorofila a,,2.14,-18.8325,-45.13306
TM25,25/08/2016,turbidez,ntu,2.75,-18.8325,-45.13306
TM25,19/05/2021,turbidez,ntu,2.77,-18.8325,-45.13306
TM25,26/08/2020,turbidez,ntu,2.78,-18.8325,-45.13306
TM25,30/01/2021,turbidez,ntu,3.04,-18.8325,-45.13306
TM25,22/01/2018,turbidez,ntu,3.06,-18.8325,-45.13306
TM25,25/08/2021,turbidez,ntu,3.2,-18.8325,-45.13306
TM25,20/01/2019,turbidez,ntu,3.23,-18.8325,-45.13306
TM25,19/02/2020,turbidez,ntu,3.53,-18.8325,-45.13306
TM25,22/08/2018,turbidez,ntu,4.21,-18.8325,-45.13306
TM25,28/02/2019,turbidez,ntu,4.46,-18.8325,-45.13306
TM25,22/05/2019,turbidez,ntu,4.47,-18.8325,-45.13306
TM25,01/02/2020,turbidez,ntu,5.11,-18.8325,-45.13306
TM25,02/02/2021,clorofila a,,6.41,-18.8325,-45.13306
TM25,07/05/2020,turbidez,ntu,6.73,-18.8325,-45.13306
TM25,03/05/2016,turbidez,ntu,7.19,-18.8325,-45.13306
TM25,09/01/2016,turbidez,ntu,7.43,-18.8325,-45.13306
TM25,25/08/2021,clorofila a,,8.54,-18.8325,-45.13306
TM25,17/05/2018,turbidez,ntu,8.89,-18.8325,-45.13306
TM25,17/02/2017,turbidez,ntu,9.64,-18.8325,-45.13306
TM25,02/02/2021,turbidez,ntu,14.1,-18.8325,-45.13306
TM25,23/02/2022,turbidez,ntu,64.1,-18.8325,-45.13306
TM25,15/08/2023,clorofila a,µg/l,3.2,-18.8325,-45.13306
TM25,15/08/2023,turbidez,ntu,1.1,-18.8325,-45.13306
TM25,24/05/2023,clorofila a,µg/l,2.14,-18.8325,-45.13306
TM25,24/05/2023,turbidez,ntu,1.6,-18.8325,-45.13306
