Sitio_cord,Data,Turbidez,Latitude,Longitude
TM30,04/05/2016,4.03,-18.57222,-45.26083
TM30,21/01/2018,4.39,-18.57222,-45.26083
TM30,06/05/2020,5.1,-18.57222,-45.26083
TM30,03/02/2021,5.79,-18.57222,-45.26083
TM30,03/02/2020,6.07,-18.57222,-45.26083
TM30,24/08/2016,6.2,-18.57222,-45.26083
TM30,08/01/2016,7.69,-18.57222,-45.26083
TM30,21/01/2019,9.08,-18.57222,-45.26083
TM30,24/02/2022,12.4,-18.57222,-45.26083
TM30,15/08/2023,0.7,-18.57222,-45.26083
TM30,24/05/2023,1.4,-18.57222,-45.26083
TM35,15/02/2023,1.0,-18.48928,-45.42733
TM35,30/11/2022,2.87,-18.48928,-45.42733
TM35,02/06/2022,5.25,-18.48928,-45.42733
TM35,25/08/2022,259.6,-18.48928,-45.42733
TM35,22/08/2019,0.53,-18.48928,-45.42733
TM35,26/08/2021,0.89,-18.48928,-45.42733
TM35,20/02/2020,1.3,-18.48928,-45.42733
TM35,27/02/2019,2.1,-18.48928,-45.42733
TM35,03/02/2021,2.28,-18.48928,-45.42733
TM35,22/08/2018,2.95,-18.48928,-45.42733
TM35,21/01/2018,3.19,-18.48928,-45.42733
TM35,25/08/2016,3.4,-18.48928,-45.42733
TM35,03/02/2020,3.53,-18.48928,-45.42733
TM35,06/05/2020,3.78,-18.48928,-45.42733
TM35,30/01/2021,3.92,-18.48928,-45.42733
TM35,09/01/2016,3.93,-18.48928,-45.42733
TM35,24/02/2022,3.99,-18.48928,-45.42733
TM35,16/02/2017,5.18,-18.48928,-45.42733
TM35,27/08/2020,5.21,-18.48928,-45.42733
TM35,28/02/2018,5.54,-18.48928,-45.42733
TM35,21/05/2019,6.86,-18.48928,-45.42733
TM35,21/01/2019,7.81,-18.48928,-45.42733
TM35,04/05/2016,8.29,-18.48928,-45.42733
TM35,16/05/2018,9.18,-18.48928,-45.42733
TM35,18/08/2023,0.0,-18.48928,-45.42733
TM35,23/05/2023,6.1,-18.48928,-45.42733
TM37,15/02/2023,0.3,-18.21276,-45.29314
TM37,01/11/2022,2.32,-18.21276,-45.29314
TM37,02/06/2022,8.51,-18.21276,-45.29314
TM37,25/08/2022,221.9,-18.21276,-45.29314
TM37,18/08/2023,0.2,-18.21276,-45.29314
TM37,23/05/2023,3.8,-18.21276,-45.29314
TM40,25/08/2022,0.0,-18.22376,-45.26183
TM40,15/02/2023,1.1,-18.22376,-45.26183
TM40,01/11/2022,1.78,-18.22376,-45.26183
TM40,02/06/2022,6.43,-18.22376,-45.26183
TM40,22/08/2019,0.82,-18.22376,-45.26183
TM40,26/08/2021,0.83,-18.22376,-45.26183
TM40,20/01/2019,1.08,-18.22376,-45.26183
TM40,03/02/2021,1.64,-18.22376,-45.26183
TM40,23/08/2016,1.79,-18.22376,-45.26183
TM40,01/02/2020,1.98,-18.22376,-45.26183
TM40,27/02/2019,2.13,-18.22376,-45.26183
TM40,21/02/2020,2.3,-18.22376,-45.26183
TM40,21/08/2018,2.33,-18.22376,-45.26183
TM40,08/01/2016,2.76,-18.22376,-45.26183
TM40,26/08/2020,2.78,-18.22376,-45.26183
TM40,21/05/2019,2.92,-18.22376,-45.26183
TM40,27/02/2018,3.19,-18.22376,-45.26183
TM40,20/01/2018,3.38,-18.22376,-45.26183
TM40,06/05/2020,3.99,-18.22376,-45.26183
TM40,30/01/2021,4.07,-18.22376,-45.26183
TM40,29/04/2016,4.12,-18.22376,-45.26183
TM40,15/05/2018,5.88,-18.22376,-45.26183
TM40,16/02/2017,6.6,-18.22376,-45.26183
TM40,24/02/2022,13.8,-18.22376,-45.26183
TM40,18/08/2023,0.2,-18.22376,-45.26183
TM40,23/05/2023,1.8,-18.22376,-45.26183
TM40,13/12/2023,1.8,-18.22376,-45.26183
