PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-06B,2019-04-03,0.2,0.6,,14.0,,,,18.0,-18.580416304138193,-51.10538491999489
CLA-07,2019-04-03,0.1,1.0,,14.0,,,,20.0,-18.64469238815568,-51.05218482324302
CLA-08,2019-04-03,0.2,1.6,,11.0,,,,20.0,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-04-03,0.3,0.8,,13.0,,,,22.0,-18.658334892800493,-51.06757829218299
CLA-09,2019-04-03,0.0,0.3,,9.0,,,,12.0,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-04-03,,,,10.5,1.0,6.0,16.5,38.0,-18.567897827162238,-51.110681871352824
CLA-01,2019-07-10,0.2,1.1,,10.0,,,,3.82,-18.40471469720768,-51.22287716980235
CLA-02,2019-07-10,0.3,1.6,,9.0,,,,4.63,-18.478620867606217,-51.188607926708855
CLA-03,2019-07-10,0.6,0.6,,7.0,,,,3.88,-18.528218997966466,-51.15191904306638
CLA-04,2019-07-16,0.8,1.1,,9.0,,,,4.16,-18.554869066877227,-51.12675459317855
CLA-05,2019-07-16,3.6,0.0,,6.1,,,,2.75,-18.55495622601502,-51.12622947820932
CLA-06,2019-07-16,0.3,1.4,,8.0,,,,3.99,-18.569842526616718,-51.10807692400981
CLA-06B,2019-07-16,1.82,0.6,,14.0,,,,18.0,-18.580416304138193,-51.10538491999489
CLA-07,2019-07-16,0.8,1.82,,10.0,,,,3.68,-18.64469238815568,-51.05218482324302
CLA-08,2019-07-16,0.8,1.6,,11.0,,,,20.0,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-07-16,0.9,1.85,,9.0,,,,3.92,-18.658334892800493,-51.06757829218299
CLA-09,2019-07-16,0.0,0.0,,10.0,,,,3.25,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-07-16,,,,44.0,9.0,16.0,26.0,19.9,-18.567897827162238,-51.110681871352824
CLA-01,2019-10-05,0.1,2.0,,8.0,,,8.0,4.8,-18.40471469720768,-51.22287716980235
CLA-02,2019-10-05,0.01,2.1,,9.0,,,,5.15,-18.478620867606217,-51.188607926708855
CLA-03,2019-10-05,0.0,1.3,,10.0,,,,4.8,-18.528218997966466,-51.15191904306638
CLA-04,2019-10-05,0.31,1.4,,10.0,,,,4.4,-18.554869066877227,-51.12675459317855
CLA-05,2019-10-05,3.06,0.1,,252.0,,,,4.66,-18.55495622601502,-51.12622947820932
CLA-06,2019-10-05,0.23,1.86,,17.0,,,,6.75,-18.569842526616718,-51.10807692400981
CLA-06B,2019-10-05,0.0,1.78,,12.0,,,,3.81,-18.580416304138193,-51.10538491999489
CLA-07,2019-10-05,0.0,2.2,,11.0,,,,2.85,-18.64469238815568,-51.05218482324302
CLA-08,2019-10-05,0.0,1.6,,9.0,,,,2.36,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-10-05,0.0,1.4,,10.0,,,,2.4,-18.658334892800493,-51.06757829218299
CLA-09,2019-10-05,6.38,0.2,,8.0,,,,1.1,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-10-05,,,,21.0,0.1,0.21,21.35,,-18.567897827162238,-51.110681871352824
CLA-01,2020-01-02,0.1,0.5,,8.0,,,,16.68,-18.40471469720768,-51.22287716980235
CLA-02,2020-01-02,0.1,0.6,,7.0,,,,15.04,-18.478620867606217,-51.188607926708855
CLA-03,2020-01-02,0.1,0.7,,7.0,,,,14.06,-18.528218997966466,-51.15191904306638
CLA-04,2020-01-02,0.01,0.2,,7.0,,,,31.08,-18.554869066877227,-51.12675459317855
CLA-05,2020-01-02,0.01,0.2,,28.0,,,,12.72,-18.55495622601502,-51.12622947820932
CLA-06,2020-01-02,0.01,27.6,,8.0,,,,29.27,-18.569842526616718,-51.10807692400981
CLA-06B,2020-01-02,0.01,0.8,,7.0,,,,24.0,-18.580416304138193,-51.10538491999489
CLA-07,2020-01-02,0.01,0.4,,9.0,,,,18.86,-18.64469238815568,-51.05218482324302
CLA-08,2020-01-02,0.01,0.8,,3.0,,,,7.08,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-01-02,0.01,0.8,,3.0,,,,7.08,-18.658334892800493,-51.06757829218299
CLA-09,2020-01-02,0.01,0.2,,6.0,,,,7.02,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-01-02,2.3,,,6.0,,,,146.2,-18.567897827162238,-51.110681871352824
