PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-08,2018-06-25,14.0,mg/L,0.0,mg/L,12.0,mg/L,2.6,μg/L,0.0,mg/L,,,0.0,NMP/100mL,14.0,μS/cm,10.0,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.0,mg/L,0.01,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,12.5,mg/L,,,8.0,,,mg/L,,,,,,,25.2,°C,,m,16.0,NTU,,,,,7.3,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2018-06-25,16.0,mg/L,0.0,mg/L,21.2,mg/L,2.9,μg/L,0.0,mg/L,,,0.0,NMP/100mL,15.0,μS/cm,12.0,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.105,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,18.2,mg/L,,,9.0,,,mg/L,,,,,,,25.5,°C,,m,18.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2018-06-25,10.0,mg/L,0.0,mg/L,20.3,mg/L,2.8,μg/L,0.0,mg/L,,,0.0,NMP/100mL,20.0,μS/cm,8.0,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,16.0,mg/L,,,10.0,,,mg/L,,,,,,,24.3,°C,,m,19.0,NTU,,,,,7.4,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-01,2018-10-23,10.0,mg/L,0.01,mg/L,6.3,mg/L,1.0,μg/L,0.0,mg/L,,,14.0,NMP/100mL,14.0,μS/cm,8.0,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.04,mg/L,0.0,mg/L,0.01,mg/L,0.0,mg/L,,mg/L,,mg/L,5.8,mg/L,0.0,mg/L,4.25,mg/L,,,,7.0,mg/L,,,,,,,mg/L,22.5,°C,,m,2.1,NTU,,,,,6.5,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2018-10-23,8.0,mg/L,0.0,mg/L,12.0,mg/L,1.6,μg/L,0.0,mg/L,,,0.0,NMP/100mL,12.0,μS/cm,4.5,UC,,mg/L,,mg/L,14.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.03,mg/L,0.0,mg/L,0.05,mg/L,0.0,mg/L,,mg/L,,mg/L,4.8,mg/L,0.01,mg/L,10.5,mg/L,,,,6.0,mg/L,,,,,,,mg/L,27.2,°C,,m,10.0,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2018-10-23,8.0,mg/L,0.02,mg/L,14.0,mg/L,2.3,μg/L,0.0,mg/L,,,8.0,NMP/100mL,12.0,μS/cm,8.0,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.06,mg/L,,,,,0.02,mg/L,0.0,mg/L,0.05,mg/L,0.01,mg/L,,mg/L,,mg/L,4.9,mg/L,0.0,mg/L,14.0,mg/L,,,,6.0,mg/L,,,,,,,mg/L,27.8,°C,,m,16.0,NTU,,,,,7.0,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2018-10-23,16.0,mg/L,0.05,mg/L,18.0,mg/L,3.2,μg/L,0.0,mg/L,,,16.0,NMP/100mL,18.0,μS/cm,14.2,UC,,mg/L,,mg/L,10.0,mg/L,0.0,NPM/100mL,0.01,mg/L,,,,,0.23,mg/L,0.0,mg/L,0.07,mg/L,0.01,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,16.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.8,°C,,m,14.0,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2018-10-23,18.0,mg/L,0.732,mg/L,62.4,mg/L,4.32,μg/L,0.006,mg/L,,,1112.0,NMP/100mL,36.0,μS/cm,13.2,UC,,mg/L,,mg/L,26.0,mg/L,46.0,NPM/100mL,0.38,mg/L,,,,,0.92,mg/L,0.181,mg/L,0.164,mg/L,0.2,mg/L,,mg/L,,mg/L,4.6,mg/L,0.0,mg/L,52.5,mg/L,,,,18.0,mg/L,,,,,,,mg/L,25.8,°C,,m,26.4,NTU,,,,,7.2,mg/L,1.6,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2018-10-23,14.0,mg/L,0.0,mg/L,26.4,mg/L,1.8,μg/L,0.0,mg/L,,,14.0,NMP/100mL,10.0,μS/cm,8.0,UC,,mg/L,,mg/L,14.0,mg/L,0.0,NPM/100mL,0.3,mg/L,,,,,0.648,mg/L,0.0,mg/L,0.13,mg/L,0.05,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,18.0,mg/L,,,,5.0,mg/L,,,,,,,mg/L,27.6,°C,,m,12.0,NTU,,,,,7.2,mg/L,0.2,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2018-10-23,12.0,mg/L,0.0,mg/L,12.4,mg/L,2.3,μg/L,0.0,mg/L,,,36.0,NMP/100mL,14.0,μS/cm,7.3,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.32,mg/L,,,,,0.11,mg/L,0.0,mg/L,0.12,mg/L,0.003,mg/L,,mg/L,,mg/L,4.9,mg/L,0.0,mg/L,26.2,mg/L,,,,7.0,mg/L,,,,,,,mg/L,27.5,°C,,m,12.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2018-10-23,12.0,mg/L,0.01,mg/L,26.0,mg/L,3.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,14.0,μS/cm,12.6,UC,,mg/L,,mg/L,18.0,mg/L,0.0,NPM/100mL,0.03,mg/L,,,,,0.12,mg/L,0.0,mg/L,0.16,mg/L,0.02,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,14.0,mg/L,,,,7.0,mg/L,,,,,,,mg/L,27.2,°C,,m,18.0,NTU,,,,,6.96,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2018-10-23,12.0,mg/L,0.0,mg/L,16.0,mg/L,2.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,10.0,μS/cm,8.0,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.8,mg/L,0.0,mg/L,14.0,mg/L,,,,,mg/L,,,,,,,mg/L,27.2,°C,,m,12.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2018-10-23,10.0,mg/L,0.0,mg/L,16.3,mg/L,1.6,μg/L,0.0,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,8.0,UC,,mg/L,,mg/L,14.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,15.3,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.5,°C,,m,14.0,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2018-10-24,8.0,mg/L,0.0,mg/L,21.3,mg/L,1.7,μg/L,0.0,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,10.0,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,10.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,25.2,°C,,m,12.0,NTU,,,,,6.8,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2018-10-24,,mg/L,,mg/L,,mg/L,,μg/L,,mg/L,,,,NMP/100mL,,μS/cm,,UC,,mg/L,,mg/L,,mg/L,,NPM/100mL,,mg/L,,,,,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,mg/L,,,mg/L,,,mg/L,,mg/L,,mg/L,,°C,,m,,NTU,,,,,,mg/L,,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2019-01-22,16.0,mg/L,0.01,mg/L,4.0,mg/L,0.7,μg/L,0.0,mg/L,,,0.0,NMP/100mL,26.0,μS/cm,16.0,UC,2.1,mg/L,,mg/L,18.0,mg/L,,NPM/100mL,0.1,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.1,mg/L,,mg/L,8.6,mg/L,,,,13.0,mg/L,,,,,,,mg/L,25.6,°C,0.8,m,22.4,NTU,,,,,7.3,mg/L,,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2019-01-22,12.0,mg/L,0.007,mg/L,12.0,mg/L,1.3,μg/L,0.0,mg/L,,,0.0,NMP/100mL,24.0,μS/cm,20.0,UC,1.6,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.3,mg/L,,,,,0.01,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,,mg/L,17.6,mg/L,,,,12.0,mg/L,,,,,,,mg/L,25.8,°C,0.7,m,18.2,NTU,,,,,7.5,mg/L,,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2019-01-22,16.0,mg/L,0.04,mg/L,21.0,mg/L,2.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,19.0,μS/cm,18.0,UC,1.4,mg/L,,mg/L,16.0,mg/L,,NPM/100mL,0.2,mg/L,,,,,0.1,mg/L,0.0,mg/L,0.12,mg/L,0.02,mg/L,,mg/L,,mg/L,4.9,mg/L,,mg/L,20.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,26.2,°C,0.8,m,26.0,NTU,,,,,7.1,mg/L,,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2019-01-22,14.0,mg/L,0.003,mg/L,44.0,mg/L,1.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,22.0,μS/cm,21.0,UC,1.9,mg/L,,mg/L,18.0,mg/L,,NPM/100mL,0.3,mg/L,,,,,0.06,mg/L,0.2,mg/L,1.2,mg/L,0.01,mg/L,,mg/L,,mg/L,4.8,mg/L,,mg/L,27.0,mg/L,,,,11.0,mg/L,,,,,,,mg/L,26.8,°C,0.6,m,25.2,NTU,,,,,6.8,mg/L,,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2019-01-22,18.0,mg/L,0.003,mg/L,68.0,mg/L,4.8,μg/L,0.0,mg/L,,,842.0,NMP/100mL,22.0,μS/cm,21.0,UC,5.6,mg/L,0.07,mg/L,18.0,mg/L,,NPM/100mL,0.3,mg/L,,,,,1.18,mg/L,0.07,mg/L,0.18,mg/L,0.26,mg/L,,mg/L,,mg/L,4.8,mg/L,,mg/L,27.0,mg/L,,,,11.0,mg/L,,,,,,,mg/L,26.8,°C,0.6,m,25.2,NTU,,,,,6.8,mg/L,,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2019-01-22,18.0,mg/L,0.0,mg/L,24.2,mg/L,3.6,μg/L,0.0,mg/L,,,212.0,NMP/100mL,12.0,μS/cm,10.0,UC,5.6,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.2,mg/L,,,,,0.2,mg/L,0.0,mg/L,0.15,mg/L,0.08,mg/L,,mg/L,,mg/L,4.6,mg/L,,mg/L,21.0,mg/L,,,,6.0,mg/L,,,,,,,mg/L,27.6,°C,0.8,m,24.8,NTU,,,,,7.2,mg/L,,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2019-01-22,21.0,mg/L,0.0,mg/L,23.6,mg/L,2.1,μg/L,0.0,mg/L,,,48.0,NMP/100mL,18.0,μS/cm,12.0,UC,3.4,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.31,mg/L,,,,,0.01,mg/L,0.0,mg/L,1.18,mg/L,0.09,mg/L,,mg/L,,mg/L,4.9,mg/L,,mg/L,27.8,mg/L,,,,9.0,mg/L,,,,,,,mg/L,28.2,°C,0.9,m,16.0,NTU,,,,,7.3,mg/L,,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2019-01-22,18.0,mg/L,0.001,mg/L,28.0,mg/L,3.3,μg/L,0.0,mg/L,,,0.0,NMP/100mL,16.0,μS/cm,14.0,UC,2.8,mg/L,,mg/L,20.0,mg/L,,NPM/100mL,0.03,mg/L,,,,,0.05,mg/L,0.0,mg/L,0.18,mg/L,0.2,mg/L,,mg/L,,mg/L,4.9,mg/L,,mg/L,17.2,mg/L,,,,8.0,mg/L,,,,,,,mg/L,29.2,°C,0.8,m,20.0,NTU,,,,,7.1,mg/L,,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2019-01-22,12.0,mg/L,0.001,mg/L,16.0,mg/L,2.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,10.0,μS/cm,15.0,UC,1.8,mg/L,,mg/L,16.0,mg/L,,NPM/100mL,0.03,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,4.8,mg/L,,mg/L,12.0,mg/L,,,,5.0,mg/L,,,,,,,mg/L,29.6,°C,0.9,m,18.0,NTU,,,,,7.2,mg/L,,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-01-22,10.0,mg/L,0.0,mg/L,12.0,mg/L,2.6,μg/L,0.0,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,10.0,UC,2.1,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,4.9,mg/L,,mg/L,8.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,29.4,°C,0.8,m,15.0,NTU,,,,,6.8,mg/L,,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2019-01-22,12.0,mg/L,0.0,mg/L,13.0,mg/L,1.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,20.0,μS/cm,12.0,UC,1.2,mg/L,,mg/L,16.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,,mg/L,5.2,mg/L,,mg/L,6.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,25.4,°C,0.4,m,12.0,NTU,,,,,6.6,mg/L,,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-01-22,,mg/L,0.001,mg/L,0.5,mg/L,,μg/L,,mg/L,,,12000.0,NMP/100mL,10.0,μS/cm,,UC,1.8,mg/L,26.0,mg/L,,mg/L,,NPM/100mL,0.98,mg/L,,,,,0.03,mg/L,0.0,mg/L,0.6,mg/L,0.0,mg/L,0.05,mg/L,0.65,mg/L,4.8,mg/L,,mg/L,10.0,mg/L,0.2,mg/L,,10.54,mg/L,,,mg/L,,mg/L,,mg/L,29.6,°C,,m,18.0,NTU,,,,,7.2,mg/L,,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2019-04-03,13.0,mg/L,0.0,mg/L,0.0,mg/L,0.4,μg/L,0.0,mg/L,,,0.0,NMP/100mL,35.0,μS/cm,16.0,UC,1.11,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.22,mg/L,,,,,0.029,mg/L,0.001,mg/L,0.4,mg/L,0.002,mg/L,0.08,mg/L,0.485,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,17.0,mg/L,,,,,,,mg/L,26.7,°C,0.4,m,36.2,NTU,,,,,7.3,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2019-04-03,13.0,mg/L,0.0,mg/L,0.0,mg/L,0.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,32.0,μS/cm,12.6,UC,0.66,mg/L,0.0,mg/L,12.0,mg/L,0.0,NPM/100mL,0.23,mg/L,,,,,0.02,mg/L,0.0,mg/L,0.3,mg/L,0.001,mg/L,0.04,mg/L,0.343,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,16.0,mg/L,,,,,,,mg/L,24.6,°C,0.8,m,26.5,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2019-04-03,13.0,mg/L,0.0,mg/L,0.0,mg/L,0.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,30.1,μS/cm,12.0,UC,0.27,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.26,mg/L,,,,,0.02,mg/L,0.0,mg/L,0.2,mg/L,0.001,mg/L,0.0,mg/L,0.204,mg/L,5.1,mg/L,,mg/L,0.0,mg/L,,,,15.0,mg/L,,,,,,,mg/L,25.2,°C,0.6,m,28.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2019-04-03,13.0,mg/L,0.0,mg/L,0.0,mg/L,0.3,μg/L,0.0,mg/L,,,0.0,NMP/100mL,28.0,μS/cm,15.0,UC,0.63,mg/L,0.63,mg/L,13.0,mg/L,,NPM/100mL,0.25,mg/L,,,,,0.01,mg/L,0.0,mg/L,0.3,mg/L,0.0,mg/L,0.0,mg/L,0.3,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,14.0,mg/L,,,,,,,mg/L,25.4,°C,0.7,m,25.0,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2019-04-03,15.0,mg/L,0.0,mg/L,0.0,mg/L,0.1,μg/L,0.0,mg/L,,,884.0,NMP/100mL,42.0,μS/cm,26.0,UC,0.7,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.21,mg/L,,,,,0.03,mg/L,0.0,mg/L,0.5,mg/L,0.006,mg/L,0.2,mg/L,0.7,mg/L,5.2,mg/L,,mg/L,0.0,mg/L,,,,21.0,mg/L,,,,,,,mg/L,26.2,°C,0.1,m,35.0,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2019-04-03,15.0,mg/L,0.0,mg/L,0.0,mg/L,0.3,μg/L,0.0,mg/L,,,212.0,NMP/100mL,28.0,μS/cm,12.0,UC,0.71,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.22,mg/L,,,,,0.02,mg/L,0.0,mg/L,0.8,mg/L,0.002,mg/L,0.2,mg/L,1.0,mg/L,5.1,mg/L,,mg/L,0.0,mg/L,,,,14.0,mg/L,,,,,,,mg/L,27.5,°C,0.5,m,16.0,NTU,,,,,6.68,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2019-04-03,16.0,mg/L,0.0,mg/L,0.0,mg/L,0.2,μg/L,0.0,mg/L,,,48.0,NMP/100mL,28.0,μS/cm,14.0,UC,0.8,mg/L,0.0,mg/L,15.0,mg/L,,NPM/100mL,0.25,mg/L,,,,,0.023,mg/L,0.0,mg/L,0.3,mg/L,0.003,mg/L,0.12,mg/L,0.42,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,14.0,mg/L,,,,,,,mg/L,29.2,°C,0.6,m,18.0,NTU,,,,,7.78,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2019-04-03,12.0,mg/L,0.0,mg/L,0.0,mg/L,0.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,28.0,μS/cm,12.0,UC,0.66,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.24,mg/L,,,,,0.022,mg/L,0.0,mg/L,0.4,mg/L,0.002,mg/L,0.14,mg/L,0.51,mg/L,5.1,mg/L,,mg/L,0.0,mg/L,,,,14.0,mg/L,,,,,,,mg/L,29.9,°C,1.0,m,20.0,NTU,,,,,8.52,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2019-04-03,15.0,mg/L,0.001,mg/L,0.0,mg/L,0.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,21.0,μS/cm,10.0,UC,0.73,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.29,mg/L,,,,,0.017,mg/L,0.0,mg/L,0.3,mg/L,0.002,mg/L,0.18,mg/L,0.48,mg/L,5.2,mg/L,,mg/L,0.0,mg/L,,,,11.0,mg/L,,,,,,,mg/L,30.0,°C,1.6,m,20.0,NTU,,,,,8.32,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-04-03,10.0,mg/L,0.0,mg/L,0.0,mg/L,0.3,μg/L,0.0,mg/L,,,0.0,NMP/100mL,25.0,μS/cm,15.0,UC,0.6,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.28,mg/L,,,,,0.02,mg/L,0.0,mg/L,0.4,mg/L,0.005,mg/L,0.14,mg/L,0.54,mg/L,6.5,mg/L,,mg/L,0.0,mg/L,,,,13.0,mg/L,,,,,,,mg/L,30.0,°C,0.8,m,22.0,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2019-04-03,10.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,μg/L,0.0,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,6.0,UC,0.1,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.22,mg/L,,,,,0.01,mg/L,0.0,mg/L,0.2,mg/L,0.001,mg/L,0.1,mg/L,0.3,mg/L,6.2,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,24.2,°C,0.3,m,12.0,NTU,,,,,8.2,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-04-03,,mg/L,0.0,mg/L,0.7,mg/L,,μg/L,,mg/L,,,12000.0,NMP/100mL,21.0,μS/cm,,UC,1.8,mg/L,25.0,mg/L,,mg/L,,NPM/100mL,0.6,mg/L,,,,,0.03,mg/L,0.0,mg/L,0.6,mg/L,0.0,mg/L,0.05,mg/L,0.65,mg/L,4.5,mg/L,,mg/L,1.0,mg/L,0.1,mg/L,,10.5,mg/L,,1.0,mg/L,6.0,mg/L,16.5,mg/L,26.3,°C,,m,38.0,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2019-07-10,6.0,mg/L,0.0,mg/L,0.0,mg/L,0.2,μg/L,0.0,mg/L,,,0.0,NMP/100mL,21.0,μS/cm,0.0,UC,1.2,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,7.6,mg/L,,mg/L,0.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,23.5,°C,1.1,m,3.82,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2019-07-10,6.0,mg/L,0.0,mg/L,2.0,mg/L,0.3,μg/L,0.0,mg/L,,,0.0,NMP/100mL,19.0,μS/cm,0.0,UC,0.52,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.3,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,8.3,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,25.4,°C,1.6,m,4.63,NTU,,,,,8.1,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2019-07-10,8.0,mg/L,0.0,mg/L,0.0,mg/L,0.6,μg/L,0.0,mg/L,,,10.0,NMP/100mL,15.0,μS/cm,0.0,UC,0.3,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,7.0,mg/L,,mg/L,0.0,mg/L,,,,7.0,mg/L,,,,,,,mg/L,24.8,°C,0.6,m,3.88,NTU,,,,,8.4,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2019-07-16,6.0,mg/L,0.0,mg/L,6.0,mg/L,0.8,μg/L,0.0,mg/L,,,0.0,NMP/100mL,19.0,μS/cm,0.0,UC,0.58,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.06,mg/L,,,,,0.0,mg/L,0.01,mg/L,0.0,mg/L,0.0,mg/L,0.06,mg/L,0.0,mg/L,7.8,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,21.9,°C,1.1,m,4.16,NTU,,,,,8.2,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2019-07-16,18.0,mg/L,0.02,mg/L,230.0,mg/L,3.6,μg/L,0.0,mg/L,,,2120.0,NMP/100mL,580.0,μS/cm,30.0,UC,1.4,mg/L,,mg/L,18.0,mg/L,,NPM/100mL,0.63,mg/L,,,,,0.72,mg/L,0.0,mg/L,1.42,mg/L,0.06,mg/L,1.41,mg/L,0.0,mg/L,6.1,mg/L,,mg/L,4.85,mg/L,,,,6.1,mg/L,,,,,,,mg/L,23.6,°C,0.0,m,2.75,NTU,,,,,7.5,mg/L,1.1,mg/L,-18.55495622601502,-51.12622947820932
