PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-09,2018-01-01,8.0,mg/L,0.0,mg/L,18.0,mg/L,0.0,μg/L,0.315,mg/L,,,0.0,NMP/100mL,12.0,μS/cm,1.0,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.351,mg/L,0.036,mg/L,0.054,mg/L,0.0,mg/L,,mg/L,,mg/L,5.6,mg/L,0.0,mg/L,18.32,mg/L,,,6.0,,,mg/L,,,,,,,26.1,°C,,m,10.8,NTU,,,,,6.53,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-01,2018-03-20,12.0,mg/L,0.0,mg/L,20.0,mg/L,0.9,μg/L,0.0,mg/L,,,0.0,NMP/100mL,21.0,μS/cm,17.1,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.242,mg/L,,,,,0.188,mg/L,0.16,mg/L,0.03,mg/L,0.0,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,14.32,mg/L,,,10.0,,,mg/L,,,,,,,28.6,°C,,m,18.4,NTU,,,,,6.85,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2018-03-20,8.0,mg/L,0.0,mg/L,18.0,mg/L,1.3,μg/L,0.0,mg/L,,,4.0,NMP/100mL,23.0,μS/cm,8.1,UC,,mg/L,,mg/L,10.0,mg/L,0.0,NPM/100mL,0.153,mg/L,,,,,1.13,mg/L,0.0,mg/L,0.071,mg/L,0.001,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,12.54,mg/L,,,12.0,,,mg/L,,,,,,,28.4,°C,,m,20.2,NTU,,,,,7.32,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2018-03-20,12.0,mg/L,0.0,mg/L,6.0,mg/L,2.4,μg/L,0.0,mg/L,,,70.0,NMP/100mL,25.0,μS/cm,10.5,UC,,mg/L,,mg/L,8.0,mg/L,2.6,NPM/100mL,0.148,mg/L,,,,,1.16,mg/L,0.1,mg/L,0.08,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,14.32,mg/L,,,12.0,,,mg/L,,,,,,,28.5,°C,,m,23.5,NTU,,,,,7.21,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2018-03-21,20.0,mg/L,0.004,mg/L,22.0,mg/L,0.0,μg/L,0.0,mg/L,,,0.0,NMP/100mL,104.0,μS/cm,12.4,UC,,mg/L,,mg/L,6.0,mg/L,0.0,NPM/100mL,0.27,mg/L,,,,,1.18,mg/L,0.16,mg/L,0.097,mg/L,0.011,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,15.0,mg/L,,,52.0,,,mg/L,,,,,,,24.5,°C,,m,21.4,NTU,,,,,7.31,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2018-03-21,18.0,mg/L,0.161,mg/L,28.9,mg/L,1.1,μg/L,0.006,mg/L,,,7.12,NMP/100mL,22.0,μS/cm,14.5,UC,,mg/L,,mg/L,8.0,mg/L,22.0,NPM/100mL,0.511,mg/L,,,,,1.202,mg/L,0.219,mg/L,0.155,mg/L,0.009,mg/L,,mg/L,,mg/L,4.6,mg/L,0.0,mg/L,31.8,mg/L,,,11.0,,,mg/L,,,,,,,25.2,°C,,m,23.8,NTU,,,,,7.35,mg/L,1.6,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2018-03-21,12.0,mg/L,0.049,mg/L,19.2,mg/L,0.0,μg/L,0.0,mg/L,,,0.0,NMP/100mL,18.0,μS/cm,13.6,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.55,mg/L,,,,,1.346,mg/L,0.249,mg/L,0.15,mg/L,0.011,mg/L,,mg/L,,mg/L,4.8,mg/L,0.0,mg/L,20.6,mg/L,,,9.0,,,mg/L,,,,,,,27.3,°C,,m,21.3,NTU,,,,,6.88,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2018-03-21,8.0,mg/L,0.003,mg/L,4.0,mg/L,0.0,μg/L,0.0,mg/L,,,263.0,NMP/100mL,23.0,μS/cm,12.8,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.622,mg/L,,,,,1.319,mg/L,0.218,mg/L,0.167,mg/L,0.008,mg/L,,mg/L,,mg/L,4.9,mg/L,0.0,mg/L,23.29,mg/L,,,11.0,,,mg/L,,,,,,,26.6,°C,,m,26.8,NTU,,,,,6.93,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2018-03-21,12.0,mg/L,0.0,mg/L,8.0,mg/L,1.5,μg/L,0.0,mg/L,,,11.0,NMP/100mL,16.0,μS/cm,11.3,UC,,mg/L,,mg/L,6.0,mg/L,0.0,NPM/100mL,0.444,mg/L,,,,,1.258,mg/L,0.001,mg/L,0.139,mg/L,0.007,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,24.05,mg/L,,,8.0,,,mg/L,,,,,,,27.2,°C,,m,27.1,NTU,,,,,6.91,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2018-03-21,16.0,mg/L,0.0,mg/L,8.0,mg/L,0.0,μg/L,0.005,mg/L,,,0.0,NMP/100mL,22.0,μS/cm,11.6,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.147,mg/L,,,,,0.1,mg/L,0.073,mg/L,0.06,mg/L,0.004,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,9.6,mg/L,,,11.0,,,mg/L,,,,,,,27.6,°C,,m,19.8,NTU,,,,,7.18,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
