Ponto_de_coleta,Latitude,Longitude,Ano,Periodo,Clorofila_a_(µg_l)
M05,-18.898333,-45.120833,2012,18Jun.,0003.63
M05,-18.898333,-45.120833,2012,18Jun.,0003.35
M05,-18.898333,-45.120833,2012,08 Nov.,0003.63
M05,-18.898333,-45.120833,2012,08 Nov.,0001.95
M05,-18.898333,-45.120833,2013,08Jun.,0003.02
M05,-18.898333,-45.120833,2013,08Jun.,0001.63
M05,-18.898333,-45.120833,2014,16 Jun.,0000.28
M05,-18.898333,-45.120833,2014,16 Jun.,0001.67
M05,-18.898333,-45.120833,2015,27 Jan.,0001.95
M05,-18.898333,-45.120833,2015,27 Jan.,0000.17
M05,-18.898333,-45.120833,2015,28Jul.,0000.98
M05,-18.898333,-45.120833,2015,28Jul.,0000.70
M06,-18.832500,-45.133056,2002,17 Abr.,0001.40
M06,-18.832500,-45.133056,2003,4 Fev.,0002.23
M06,-18.832500,-45.133056,2009,05 Jun.,0003.21
M06,-18.832500,-45.133056,2009,05 Jun.,0001.26
M06,-18.832500,-45.133056,2009,27 Nov.,0005.86
M06,-18.832500,-45.133056,2010,07 Mai.,0007.53
M06,-18.832500,-45.133056,2010,07 Mai.,0004.18
M06,-18.832500,-45.133056,2011,03 Jun.,0000.84
M06,-18.832500,-45.133056,2011,03 Jun.,0001.39
M06,-18.832500,-45.133056,2011,08 Nov.,0003.35
M06,-18.832500,-45.133056,2011,08 Nov.,0001.12
M06,-18.832500,-45.133056,2012,18Jun.,0003.91
M06,-18.832500,-45.133056,2012,18Jun.,0001.40
M06,-18.832500,-45.133056,2012,08 Nov.,0004.46
M06,-18.832500,-45.133056,2012,08 Nov.,0001.4
M06,-18.832500,-45.133056,2013,08Jun.,0000.37
M06,-18.832500,-45.133056,2013,08Jun.,0000.84
M06,-18.832500,-45.133056,2015,27 Jan.,0002.09
M06,-18.832500,-45.133056,2015,27 Jan.,0000.17
M06,-18.832500,-45.133056,2015,28Jul.,0000.56
M06,-18.832500,-45.133056,2015,28Jul.,0000.14
