feature,importance
Month,0.18788912588004775
B3_B2_ratio,0.15236226973803607
B4_B3_ratio,0.09058692018360175
B3,0.07702491648847001
Season,0.07040060110675576
B4,0.06955128272026673
NDVI,0.06067082929154343
FAI,0.05837569015272414
NDCI,0.05294765382222211
B2,0.04553364998923189
MNDWI,0.03796473947049164
B5_B4_ratio,0.029554880727360452
B8,0.029098710533262684
B5,0.02104036345491815
B11,0.016998366441067225
