PONTO,Média,Número de Amostras
CLA-01,1.135,17
CLA-02,1.506,17
CLA-03,1.562,17
CLA-04,1.574,17
CLA-05,0.721,17
CLA-06,3.113,17
CLA-06B,1.631,17
CLA-07,1.76,17
CLA-08,1.638,17
CLA-08CS,1.644,17
CLA-09,0.75,14
CLA-ETE,0.5,5
