model,rmse,mae,r2,cv_mean,cv_std
RandomForest,0.5566471324864342,0.3340585555555547,0.21018762909142186,0.05202305521217445,0.32649094865892886
GradientBoosting,0.5955065433111242,0.29264561037428544,0.09606530672630298,-0.02312733820777264,0.3711179054593787
Lasso,0.6270763422906014,0.4761891737891735,-0.0023163446317748804,-0.11376147824210796,0.09575208154121628
Ridge,0.6063973315385282,0.45629838701655656,0.06270016084725705,-0.2026956497300331,0.18320705208712895
SVR,0.6208196028913439,0.3582439122737303,0.017585366556128856,-0.06469984332587735,0.0912804229305762
