PONTO,Sólidos Totais
CLA-01,39.416666666666664
CLA-02,52.1
CLA-03,51.0
CLA-04,71.5
CLA-05,172.2
CLA-06,34.7
CLA-06B,41.7
CLA-07,36.8
CLA-08,50.5
CLA-08CS,48.5
CLA-09,37.0
CLA-ETE,97.89545454545454
