PONTO,Média,Número de Amostras
CLA-01,1.001,23
CLA-02,1.819,23
CLA-03,2.145,23
CLA-04,1.768,23
CLA-05,2.393,23
CLA-06,1.497,23
CLA-06B,1.455,23
CLA-07,2.24,23
CLA-08,1.699,23
CLA-08CS,1.415,23
CLA-09,1.615,20
CLA-ETE,45.671,10
