PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez
CLA-02,2019-01-22,1.3,0.7,,12.0,,,,18.2
CLA-03,2019-01-22,2.1,0.8,,9.0,,,,26.0
CLA-04,2019-01-22,1.1,0.6,,11.0,,,,25.2
CLA-05,2019-01-22,4.8,0.6,,11.0,,,,25.2
CLA-06,2019-01-22,3.6,0.8,,6.0,,,,24.8
CLA-06B,2019-01-22,2.1,0.9,,9.0,,,,16.0
CLA-07,2019-01-22,3.3,0.8,,8.0,,,,20.0
CLA-08,2019-01-22,2.1,0.9,,5.0,,,,18.0
CLA-08CS,2019-01-22,2.6,0.8,,9.0,,,,15.0
CLA-09,2019-01-22,1.2,0.4,,10.0,,,,12.0
CLA-ETE,2019-01-22,,,,10.54,,,,18.0
CLA-01,2019-04-03,0.4,0.4,,17.0,,,,36.2
CLA-02,2019-04-03,0.2,0.8,,16.0,,,,26.5
CLA-03,2019-04-03,0.1,0.6,,15.0,,,,28.0
CLA-04,2019-04-03,0.3,0.7,,14.0,,,,25.0
CLA-05,2019-04-03,0.1,0.1,,21.0,,,,35.0
CLA-06,2019-04-03,0.3,0.5,,14.0,,,,16.0
CLA-06B,2019-04-03,0.2,0.6,,14.0,,,,18.0
CLA-07,2019-04-03,0.1,1.0,,14.0,,,,20.0
CLA-08,2019-04-03,0.2,1.6,,11.0,,,,20.0
CLA-08CS,2019-04-03,0.3,0.8,,13.0,,,,22.0
CLA-09,2019-04-03,0.0,0.3,,9.0,,,,12.0
CLA-ETE,2019-04-03,,,,10.5,1.0,6.0,16.5,38.0
CLA-01,2019-07-10,0.2,1.1,,10.0,,,,3.82
CLA-02,2019-07-10,0.3,1.6,,9.0,,,,4.63
CLA-03,2019-07-10,0.6,0.6,,7.0,,,,3.88
CLA-04,2019-07-16,0.8,1.1,,9.0,,,,4.16
CLA-05,2019-07-16,3.6,0.0,,6.1,,,,2.75
CLA-06,2019-07-16,0.3,1.4,,8.0,,,,3.99
CLA-06B,2019-07-16,1.82,0.6,,14.0,,,,18.0
CLA-07,2019-07-16,0.8,1.82,,10.0,,,,3.68
CLA-08,2019-07-16,0.8,1.6,,11.0,,,,20.0
CLA-08CS,2019-07-16,0.9,1.85,,9.0,,,,3.92
CLA-09,2019-07-16,0.0,0.0,,10.0,,,,3.25
CLA-ETE,2019-07-16,,,,44.0,9.0,16.0,26.0,19.9
CLA-01,2019-10-05,0.1,2.0,,8.0,,,8.0,4.8
CLA-02,2019-10-05,0.01,2.1,,9.0,,,,5.15
CLA-03,2019-10-05,0.0,1.3,,10.0,,,,4.8
CLA-04,2019-10-05,0.31,1.4,,10.0,,,,4.4
CLA-05,2019-10-05,3.06,0.1,,252.0,,,,4.66
CLA-06,2019-10-05,0.23,1.86,,17.0,,,,6.75
CLA-06B,2019-10-05,0.0,1.78,,12.0,,,,3.81
CLA-07,2019-10-05,0.0,2.2,,11.0,,,,2.85
CLA-08,2019-10-05,0.0,1.6,,9.0,,,,2.36
CLA-08CS,2019-10-05,0.0,1.4,,10.0,,,,2.4
CLA-09,2019-10-05,6.38,0.2,,8.0,,,,1.1
CLA-ETE,2019-10-05,,,,21.0,0.1,0.21,21.35,
CLA-01,2020-01-02,0.1,0.5,,8.0,,,,16.68
CLA-02,2020-01-02,0.1,0.6,,7.0,,,,15.04
CLA-03,2020-01-02,0.1,0.7,,7.0,,,,14.06
CLA-04,2020-01-02,0.01,0.2,,7.0,,,,31.08
CLA-05,2020-01-02,0.01,0.2,,28.0,,,,12.72
CLA-06,2020-01-02,0.01,27.6,,8.0,,,,29.27
CLA-06B,2020-01-02,0.01,0.8,,7.0,,,,24.0
CLA-07,2020-01-02,0.01,0.4,,9.0,,,,18.86
CLA-08,2020-01-02,0.01,0.8,,3.0,,,,7.08
CLA-08CS,2020-01-02,0.01,0.8,,3.0,,,,7.08
CLA-09,2020-01-02,0.01,0.2,,6.0,,,,7.02
CLA-ETE,2020-01-02,2.3,,,6.0,,,,146.2
CLA-01,2020-04-01,0.001,,,11.0,,,,17.78
CLA-02,2020-04-01,0.001,,,12.0,,,,12.05
CLA-03,2020-04-01,0.001,,,11.0,,,,10.92
