model,rmse,r2,cv_mean,cv_std
RandomForest,0.8453956652719048,0.11813634267148254,-0.089464738923914,0.054494201717540214
GradientBoosting,0.8769676944835411,0.051038480088235194,-0.31122647654599067,0.21603809090558082
Lasso,0.8943499741949761,0.013047141067670465,-0.037754253399761815,0.03697937595776842
Ridge,0.8921917301407641,0.01780481992222871,-0.05427609300005749,0.061507343739826505
SVR,0.8700718118796262,0.06590379100529309,-0.00430240197777656,0.10539851828954054
