model,rmse,mae,r2,cv_mean,cv_std
RandomForest,2.1826282360146063,1.261180315103414,0.461974903734794,0.34586595793115976,0.14429551291046394
GradientBoosting,2.324384623155112,1.4068980220691847,0.389818574972871,0.25388585131854463,0.15287496732795636
Lasso,2.66692044055729,2.0784868764605093,0.19672709995729976,0.10205052721685164,0.12629196459275116
Ridge,2.6814031835795147,2.1107339292356677,0.18797904508600727,0.010833219163603159,0.31029486829195757
SVR,2.5754400894872647,1.7727057831460014,0.25088947538024486,0.14806384188157207,0.032782897715433953
